"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"US-SDU", "13162", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201012021200", "201407090900", "Continuous operation", , 
"US-SDU", "13163", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201012021200", "201407090900", "Continuous operation", , 
"US-SDU", "13164", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20121115", "201402010000", "Continuous operation", , 
"US-Seg", "15452", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200701010000", , "Continuous Operation", , 
"US-Seg", "15463", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Seg", "15466", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-Ses", "15470", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200701010000", , "Continuous Operation", , 
"US-Ses", "15481", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Ses", "15483", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-SFP", "8917", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-SHC", "33670", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170620", , "Continuous operation", , 
"US-SHC", "33681", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170620", , "Continuous operation", , 
"US-SHC", "33683", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20170620", , "Continuous operation", , 
"US-Shd", "5501", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", "2001", "Continuous operation", , 
"US-SHS", "30502", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110620", "20130930", "Continuous operation", , 
"US-SHS", "30503", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110620", "20130930", "Continuous operation", , 
"US-SHS", "30504", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110620", "20130930", "Continuous operation", "interruption through hurricane Sandy Oct 2012", 
"US-SJ1", "8081", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-SJ2", "5506", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", , "Continuous operation", , 
"US-Skr", "11903", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20040106", , "Continuous operation", "Custom software used to compute fluxes.  We retain the raw 10 Hz data used to determine fluxes.", 
"US-Skr", "11919", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20040106", , "Continuous operation", , 
"US-Slt", "13032", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20040430", , "Continuous operation", "Closed path system using a LI-7000 with a short inlet tube, resulting in a lag time of approx. 2.5 seconds.", 
"US-Slt", "13049", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20040430", , "Continuous operation", , 
"US-Slt", "13051", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20040430", , "Continuous operation", , 
"US-Snd", "29991", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20070723", "20150507", "Continuous operation", , 
"US-Snd", "29993", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20070723", "20150507", "Continuous operation", , 
"US-Sne", "30002", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20160524", , "Continuous operation", , 
"US-Sne", "30003", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20160524", , "Continuous operation", , 
"US-Sne", "30004", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20160524", , "Continuous operation", , 
"US-Snf", "84767", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201807190000", , "Continuous operation", , 
"US-SO2", "15920", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", , "Continuous operation", , 
"US-SO2", "15933", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1997", , "Continuous operation", , 
"US-SO3", "15938", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1997", , "Continuous operation", , 
"US-SO3", "15951", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1997", , "Continuous operation", , 
"US-SO4", "15904", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-SO4", "15917", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2004", , "Continuous operation", , 
"US-SP1", "2931", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2000", , "Continuous operation", , 
"US-SP2", "5048", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", "2008", "Continuous operation", , 
"US-SP3", "4667", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-SP4", "412", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", "1998", "Continuous operation", , 
"US-SRC", "86648", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200804241200", "201803110730", "Continuous operation", , 
"US-SRC", "86652", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200804241200", "201803110730", "Continuous operation", , 
"US-SRG", "11846", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20080308", , "Continuous operation", , 
"US-SRG", "11858", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20080308", , "Continuous operation", , 
"US-SRM", "11177", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-SRM", "11658", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20040101", , "Continuous operation", , 
"US-SRM", "11671", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20040101", , "Continuous operation", , 
"US-Srr", "30949", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140406", , "Continuous operation", , 
"US-Srr", "30950", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140406", , "Continuous operation", , 
"US-Srr", "30951", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140406", , "Continuous operation", , 
"US-Srr", "30952", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20140406", , "Continuous operation", , 
"US-SSH", "30681", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200905010030", , "Continuous operation", , 
"US-SSH", "30682", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200905010030", , "Continuous operation", , 
"US-SSH", "30683", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200905010030", , "Continuous operation", , 
"US-Sta", "12493", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060101", "20091231", "Continuous operation", , 
"US-Sta", "12505", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20060101", "20091231", "Continuous operation", , 
"US-StJ", "83407", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150121", , "Continuous operation", , 
"US-StJ", "83409", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150121", , "Continuous operation", , 
"US-StJ", "83411", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150121", , "Continuous operation", , 
"US-StJ", "83413", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20150121", , "Continuous operation", , 
"US-StS", "30098", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20150521", "20160210", "Intermittent", "Data is collected in intermittent periods of time.", 
"US-StS", "30099", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150521", "20160210", "Intermittent", "Data is collected in intermittent periods of time.", 
"US-StS", "30100", "GRP_FLUX_MEASUREMENTS", "Gradients", "H", "20150521", "20160210", "Intermittent", "Data is collected in intermittent periods of time.", 
"US-StS", "30101", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150521", "20160210", "Intermittent", "Data is collected in intermittent periods of time.", 
"US-StS", "30102", "GRP_FLUX_MEASUREMENTS", "Gradients", "H2O", "20150521", "20160210", "Intermittent", "Data is collected in intermittent periods of time.", 
"US-SuM", "13061", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130425", "20131209", "Periodic operation", "Observations during part of 2 year sugarcane growth cycle", 
"US-SuM", "13075", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130425", "20131209", "Periodic operation", "Observations during part of 2 year sugarcane growth cycle", 
"US-SuM", "13077", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20130425", "20131209", "Periodic operation", "Observations during part of 2 year sugarcane growth cycle", 
"US-SuS", "13080", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110721", "20131209", "Continuous operation", "Observations during part of two separate, two year sugarcane growth cycle", 
"US-SuS", "13094", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110721", "20131209", "Continuous operation", "Observations during part of two separate, two year sugarcane growth cycle", 
"US-SuS", "13097", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110721", "20131209", "Continuous operation", "Observations during part of two separate, two year sugarcane growth cycle", 
"US-SuW", "13101", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110723", "20130419", "Continuous operation", "Observations during 2 year sugarcane growth cycle", 
"US-SuW", "13115", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110723", "20130419", "Continuous operation", "Observations during 2 year sugarcane growth cycle", 
"US-SuW", "13118", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110723", "20130419", "Continuous operation", "Observations during 2 year sugarcane growth cycle", 
"US-Syv", "15314", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20010601", , "Continuous operation", "No flux data from mid 2007 to late 2011", 
"US-Syv", "15329", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20010601", , "Continuous operation", , 
"US-Syv", "15332", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20010601", , "Continuous operation", , 
"US-SZ1", "85790", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-SZ1", "85792", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-SZ1", "85803", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-SZ2", "85830", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-SZ2", "85843", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-SZ2", "85849", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-SZ3", "85851", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20180501", , "Continuous operation", , 
"US-SZ3", "85855", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180501", , "Continuous operation", , 
"US-SZ3", "85869", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180501", , "Continuous operation", , 
"US-Ton", "10194", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", , "Continuous operation", , 
"US-Tur", "85310", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201711141800", "201802141230", "Periodic operation", "Measurements were made during daytime hours. It was unsafe to access the tower when animals were present, resulting in a large data gap due to overwriting.", 
"US-Tur", "85311", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201711141800", "201802141230", "Periodic operation", "Measurements were made during daytime hours. It was unsafe to access the tower when animals were present, resulting in a large data gap due to overwriting.", 
"US-Tur", "85314", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201711141800", "201802141230", "Periodic operation", "Measurements were made during daytime hours. It was unsafe to access the tower when animals were present, resulting in a large data gap due to overwriting.", 
"US-Tur", "85316", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201711141800", "201802141230", "Periodic operation", "Measurements were made during daytime hours. It was unsafe to access the tower when animals were present, resulting in a large data gap due to overwriting.", 
"US-Tw1", "12562", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120712", , "Continuous operation", , 
"US-Tw1", "12576", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20120712", , "Continuous operation", , 
"US-Tw2", "11266", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20120522", "20130525", "Continuous operation", , 
"US-Tw3", "11285", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130524", , "Continuous operation", , 
"US-Tw3", "11298", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20130828", , "Continuous operation", , 
"US-Tw3", "15354", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130510", , "Continuous operation", , 
"US-Tw4", "11305", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20131125", , "Continuous operation", , 
"US-Tw4", "11317", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20131125", , "Continuous operation", , 
"US-Tw5", "84625", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201804250000", , "Continuous operation", , 
"US-Twt", "79398", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20090425", "20170404", "Continuous operation", , 
"US-Twt", "79399", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20090425", "20170404", "Continuous operation", , 
"US-Tx1", "86549", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx1", "86553", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx1", "86558", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", , 
"US-Tx1", "86562", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx2", "79559", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", "COSMOS, Phenocams, Soil Nodes", 
"US-Tx2", "79567", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx2", "79580", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx2", "79583", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx3", "79536", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx3", "79545", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx3", "79549", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", "COSMOS, Phenocams, Soil Nodes", 
"US-Tx3", "79551", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx4", "79592", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", "COSMOS, Phenocams, Soil Nodes", 
"US-Tx4", "79593", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx4", "79594", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx4", "79595", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx5", "79620", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx5", "79621", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx5", "79622", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx5", "79623", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", "COSMOS, Phenocams, Soil Nodes", 
"US-Tx6", "79655", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20171030", , "Continuous operation", , 
"US-Tx6", "79659", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20171030", , "Continuous operation", , 
"US-Tx6", "79661", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Other", "20171030", , "Continuous operation", , 
"US-Tx6", "79664", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20171030", , "Continuous operation", , 
"US-Tx7", "79693", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20161030", , "Continuous operation", , 
"US-Tx7", "79695", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "20161030", , "Continuous operation", "COSMOS, Phenocams, Soil Nodes", 
"US-Tx7", "79700", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20161030", , "Continuous operation", , 
"US-Tx7", "79711", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20161030", , "Continuous operation", , 
"US-Tx8", "86675", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20190220", , "Continuous operation", , 
"US-Tx8", "86683", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20190220", , "Continuous operation", , 
"US-Tx8", "86693", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20190220", , "Continuous operation", , 
"US-Tx9", "79674", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170501", , "Continuous operation", , 
"US-Tx9", "79675", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170501", , "Continuous operation", , 
"US-Tx9", "79687", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20170501", , "Continuous operation", , 
"US-Uaf", "81518", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20021001", , "Continuous operation", , 
"US-Uaf", "81519", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20021001", , "Continuous operation", , 
"US-Uaf", "81520", "GRP_FLUX_MEASUREMENTS", "Chambers", "CH4", "20160401", , "Growing season operation only", , 
"US-Uaf", "81521", "GRP_FLUX_MEASUREMENTS", "Chambers", "CO2", "20160401", , "Growing season operation only", , 
"US-Uaf", "81525", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20090401", , "Growing season operation only", , 
"US-Uaf", "81526", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20021001", , "Continuous operation", , 
"US-UiA", "87899", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200806131630", "201606141500", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiA", "87904", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200806131630", "201606141500", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiA", "87905", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200806131630", "201606141500", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiB", "87913", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200807090930", "201801010000", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiB", "87914", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200807090930", "201801010000", "Continuous operation", , 
"US-UiB", "87925", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200807090930", "201801010000", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiC", "87932", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200807231030", "201603231100", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiC", "87948", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200807231030", "201603231100", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-UiC", "87951", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200807231030", "201603231100", "Continuous operation", "Open path LI7500 used with RM Young 81000 RE sonic anemometer", 
"US-ULM", "9352", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2013", , "Continuous operation", , 
"US-UM3", "14773", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20130707", "20141013", "Growing season operation only", , 
"US-UM3", "14786", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20130707", "20141013", "Growing season operation only", , 
"US-UM3", "14787", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20130707", "20141013", "Growing season operation only", , 
"US-UMB", "12330", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"US-UMd", "12363", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", , "Continuous operation", , 
"US-Upa", "6360", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1993", "1994", "Continuous operation", , 
"US-Var", "11324", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20001101", , "Continuous operation", , 
"US-Vcm", "15487", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200701010000", , "Continuous Operation", , 
"US-Vcm", "15498", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Vcm", "15501", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-Vcp", "15506", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200701010000", , "Continuous Operation", , 
"US-Vcp", "15517", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Vcp", "15520", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-Vcs", "30484", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201601010000", , "Continuous Operation", , 
"US-Vcs", "30485", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201601010000", , "Continuous Operation", , 
"US-Vcs", "30486", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201601010000", , "Continuous Operation", , 
"US-VFP", "84970", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140105", , "Continuous operation", , 
"US-VFP", "84971", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140105", , "Continuous operation", , 
"US-WBW", "6361", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1995", "1999", "Continuous operation", , 
"US-WCr", "14449", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", "No flux measurements 2007- mid 2010", 
"US-WCr", "14464", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1999", , "Continuous operation", , 
"US-WCr", "14467", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "1999", , "Continuous operation", , 
"US-Wdn", "12511", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20060101", "20081231", "Continuous operation", , 
"US-Wdn", "12523", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20060101", "20081231", "Continuous operation", , 
"US-Wgr", "16061", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20141214", , "Continuous operation", , 
"US-Wgr", "16075", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20141214", , "Continuous operation", , 
"US-Wgr", "16077", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20141214", , "Continuous operation", , 
"US-Whs", "11860", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20070629", , "Continuous operation", , 
"US-Whs", "11874", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20070629", , "Continuous operation", , 
"US-Wi0", "3779", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2002", "Continuous operation", , 
"US-Wi1", "1234", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", "2003", "Continuous operation", , 
"US-Wi2", "9771", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2003", "2003", "Continuous operation", , 
"US-Wi3", "5497", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2004", "Continuous operation", , 
"US-Wi4", "2113", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2005", "Continuous operation", , 
"US-Wi5", "8073", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2004", "Continuous operation", , 
"US-Wi6", "8074", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2002", "Continuous operation", , 
"US-Wi7", "3780", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2005", "2005", "Continuous operation", , 
"US-Wi8", "3781", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2002", "2002", "Continuous operation", , 
"US-Wi9", "1235", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", "2005", "Continuous operation", , 
"US-Wjs", "12423", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20070101", , "Continuous operation", , 
"US-Wjs", "15524", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "200705041330", , "Continuous Operation", , 
"US-Wjs", "15534", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200701010000", , "Continuous Operation", , 
"US-Wjs", "15536", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "200701010000", , "Continuous Operation", , 
"US-Wkg", "11799", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2004", , "Continuous operation", , 
"US-Wlr", "12464", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2001", "2004", "Continuous operation", , 
"US-Wpp", "16105", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20141027", , "Continuous operation", , 
"US-Wpp", "16119", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20141027", , "Continuous operation", , 
"US-Wpp", "16121", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20141027", , "Continuous operation", , 
"US-WPT", "12741", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20110101", "20131231", "Continuous operation", , 
